frame,second,behaviours
0,0.0,"listening, listening, listening, listening, listening"
1,0.04,"listening, listening, listening, listening, listening, listening"
2,0.08,"listening, listening, listening, listening, listening"
3,0.12,"listening, listening, listening, listening, listening"
4,0.16,"listening, listening, listening, listening, listening"
5,0.2,"listening, listening, listening, listening, listening"
6,0.24,"listening, listening, listening, listening, listening"
7,0.28,"listening, listening, listening, listening, listening"
8,0.32,"listening, listening, listening, listening, listening, listening"
9,0.36,"listening, listening, listening, listening, listening, listening"
10,0.4,"listening, listening, listening, listening, listening, listening"
11,0.44,"listening, listening, listening, listening, listening, listening"
12,0.48,"listening, listening, listening, listening, listening, listening"
13,0.52,"listening, listening, listening, listening, listening, listening"
14,0.56,"listening, listening, listening, listening, listening, listening"
15,0.6,"listening, listening, listening, listening, listening, listening"
16,0.64,"listening, listening, listening, listening, listening, listening"
17,0.68,"listening, listening, listening, listening, listening, listening"
18,0.72,"listening, listening, listening, listening, listening, listening"
19,0.76,"listening, listening, listening, listening, listening, listening, listening"
20,0.8,"listening, listening, listening, listening, listening, listening, listening"
21,0.84,"listening, listening, listening, listening, listening, listening, listening"
22,0.88,"listening, listening, listening, listening, listening, listening, listening"
23,0.92,"listening, listening, listening, listening, listening"
24,0.96,"listening, listening, listening, listening, listening, listening"
25,1.0,"listening, listening, listening, listening, listening, listening"
26,1.04,"listening, listening, listening, listening, listening, listening"
27,1.08,"listening, listening, listening, listening, listening, listening, listening"
28,1.12,"listening, listening, listening, listening, listening, listening, listening"
29,1.16,"listening, listening, listening, listening, listening, listening, listening"
30,1.2,"listening, listening, listening, listening, listening, listening, listening"
31,1.24,"listening, listening, listening, listening, listening, listening, listening, listening"
32,1.28,"listening, listening, listening, listening, listening, listening, listening, listening"
33,1.32,"listening, listening, listening, listening, listening, listening, listening"
34,1.36,"listening, listening, listening, listening, listening, listening"
35,1.4,"listening, listening, listening, listening, listening, listening, listening"
36,1.44,"listening, listening, listening, listening, listening, listening, listening"
37,1.48,"listening, listening, listening, listening, listening, listening, listening"
38,1.52,"listening, listening, listening, listening, listening, listening"
39,1.56,"listening, listening, listening, listening, listening, listening, listening"
40,1.6,"listening, listening, listening, listening, listening, listening, listening, listening"
41,1.64,"listening, listening, listening, listening, listening, listening, listening"
42,1.68,"listening, listening, listening, listening, listening, listening, listening, listening"
43,1.72,"listening, listening, listening, listening, listening, listening, listening, listening"
44,1.76,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
45,1.8,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
46,1.84,"listening, listening, listening, listening, listening, listening, listening, listening"
47,1.88,"listening, listening, listening, listening, listening, listening, listening, listening"
48,1.92,"listening, listening, listening, listening, listening, listening, listening, listening"
49,1.96,"listening, listening, listening, listening, listening, listening, listening, listening"
50,2.0,"listening, listening, listening, listening, listening, listening, listening, listening"
51,2.04,"listening, listening, listening, listening, listening, listening, listening, listening"
52,2.08,"listening, listening, listening, listening, listening, listening, listening, listening"
53,2.12,"listening, listening, listening, listening, listening, listening, listening, listening"
54,2.16,"listening, listening, listening, listening, listening, listening, listening, listening"
55,2.2,"listening, listening, listening, listening, listening, listening, listening, listening"
56,2.24,"listening, listening, listening, listening, listening, listening, listening"
57,2.28,"listening, listening, listening, listening, listening, listening, listening"
58,2.32,"listening, listening, listening, listening, listening, listening, listening"
59,2.36,"listening, listening, listening, listening, listening, listening, listening"
60,2.4,"listening, listening, listening, listening, listening, listening, listening"
61,2.44,"listening, listening, listening, listening, listening, listening, listening"
62,2.48,"listening, listening, listening, listening, listening, listening, listening"
63,2.52,"listening, listening, listening, listening, listening, listening, listening"
64,2.56,"listening, listening, listening, listening, listening, listening, listening"
65,2.6,"listening, listening, listening, listening, listening, listening, listening"
66,2.64,"listening, listening, listening, listening, listening, listening, listening"
67,2.68,"listening, listening, listening, listening, listening, listening, listening"
68,2.72,"listening, listening, listening, listening, listening, listening, listening"
69,2.76,"listening, listening, listening, listening, listening, listening, listening"
70,2.8,"listening, listening, listening, listening, listening, listening"
71,2.84,"listening, listening, listening, listening, listening, listening, listening"
72,2.88,"listening, listening, listening, listening, listening, listening, listening"
73,2.92,"listening, listening, listening, listening, listening, listening, listening"
74,2.96,"listening, listening, listening, listening, listening, listening, listening, listening"
75,3.0,"listening, listening, listening, listening, listening, listening, listening, listening"
76,3.04,"listening, listening, listening, listening, listening, listening, listening, listening"
77,3.08,"listening, listening, listening, listening, listening, listening, listening, listening"
78,3.12,"listening, listening, listening, listening, listening, listening, listening"
79,3.16,"listening, listening, listening, listening, listening, listening, listening"
80,3.2,"listening, listening, listening, listening, listening, listening, listening"
81,3.24,"listening, listening, listening, listening, listening, listening, listening"
82,3.28,"listening, listening, listening, listening, listening, listening, listening"
83,3.32,"listening, listening, listening, listening, listening, listening, listening"
84,3.36,"listening, listening, listening, listening, listening, listening, listening"
85,3.4,"listening, listening, listening, listening, listening, listening, listening"
86,3.44,"listening, listening, listening, listening, listening, listening, listening"
87,3.48,"listening, listening, listening, listening, listening, listening, listening"
88,3.52,"listening, listening, listening, listening, listening, listening, listening"
89,3.56,"listening, listening, listening, listening, listening, listening, listening"
90,3.6,"listening, listening, listening, listening, listening, listening, listening"
91,3.64,"listening, listening, listening, listening, listening, listening, listening"
92,3.68,"listening, listening, listening, listening, listening, listening, listening"
93,3.72,"listening, listening, listening, listening, listening, listening, listening"
94,3.76,"listening, listening, listening, listening, listening, listening, listening"
95,3.8,"listening, listening, listening, listening, listening, listening, listening"
96,3.84,"listening, listening, listening, listening, listening, listening, listening"
97,3.88,"listening, listening, listening, listening, listening, listening, listening, reading"
98,3.92,"listening, listening, listening, listening, listening, listening, listening"
99,3.96,"listening, listening, listening, listening, listening, listening, listening, reading"
100,4.0,"listening, listening, listening, listening, listening, listening, listening, reading"
101,4.04,"listening, listening, listening, listening, listening, listening, listening, reading"
102,4.08,"listening, listening, listening, listening, listening, listening, reading, listening"
103,4.12,"listening, listening, listening, listening, listening, listening, listening, reading"
104,4.16,"listening, listening, listening, listening, listening, listening, listening, reading"
105,4.2,"listening, listening, listening, listening, listening, listening, reading, listening"
106,4.24,"listening, listening, listening, listening, listening, listening, reading, listening"
107,4.28,"listening, listening, listening, listening, listening, listening, listening"
108,4.32,"listening, listening, listening, listening, listening, listening"
109,4.36,"listening, listening, listening, listening, listening, listening"
110,4.4,"listening, listening, listening, listening, listening, listening"
111,4.44,"listening, listening, listening, listening, listening, listening"
112,4.48,"listening, listening, listening, listening, listening, listening"
113,4.52,"listening, listening, listening, listening, listening, listening, listening"
114,4.56,"listening, listening, listening, listening, listening, listening, listening"
115,4.6,"listening, listening, listening, listening, listening, listening"
116,4.64,"listening, listening, listening, listening, listening, listening, listening"
117,4.68,"listening, listening, listening, listening, listening, listening"
118,4.72,"listening, listening, listening, listening, listening, listening"
119,4.76,"listening, listening, listening, listening, listening, listening, listening"
120,4.8,"listening, listening, listening, listening, listening, listening, listening"
121,4.84,"listening, listening, listening, listening, listening, listening, listening"
122,4.88,"listening, listening, listening, listening, listening, listening, listening"
123,4.92,"listening, listening, listening, listening, listening, listening, listening"
124,4.96,"listening, listening, listening, listening, listening, listening"
125,5.0,"listening, listening, listening, listening, listening, listening, listening"
126,5.04,"listening, listening, listening, listening, listening, listening, listening"
127,5.08,"listening, listening, listening, listening, listening, listening"
128,5.12,"listening, listening, listening, listening, listening, listening, listening"
129,5.16,"listening, listening, listening, listening, listening, listening, listening, listening"
130,5.2,"listening, listening, listening, listening, listening, listening, listening, listening"
131,5.24,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
132,5.28,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
133,5.32,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
134,5.36,"listening, listening, listening, listening, listening, listening, listening, listening"
135,5.4,"listening, listening, listening, listening, listening, listening, listening"
136,5.44,"listening, listening, listening, listening, listening, listening, listening, listening"
137,5.48,"listening, listening, listening, listening, listening, listening, listening, listening"
138,5.52,"listening, listening, listening, listening, listening, listening, listening, listening"
139,5.56,"listening, listening, listening, listening, listening, listening, listening, listening"
140,5.6,"listening, listening, listening, listening, listening, listening, listening"
141,5.64,"listening, listening, listening, listening, listening, listening, listening, listening"
142,5.68,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
143,5.72,"listening, listening, listening, listening, listening, listening, listening"
144,5.76,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
145,5.8,"listening, listening, listening, listening, listening, listening, listening"
146,5.84,"listening, listening, listening, listening, listening, listening, listening, listening"
147,5.88,"listening, listening, listening, listening, listening, listening, listening, listening"
148,5.92,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
149,5.96,"listening, listening, listening, listening, listening, listening, listening, listening"
150,6.0,"listening, listening, listening, listening, listening, listening, listening, listening"
151,6.04,"listening, listening, listening, listening, listening, listening, listening, listening"
152,6.08,"listening, listening, listening, listening, listening, listening, listening, listening"
153,6.12,"listening, listening, listening, listening, listening, listening, listening, listening"
154,6.16,"listening, listening, listening, listening, listening, listening, listening"
155,6.2,"listening, listening, listening, listening, listening, listening, listening"
156,6.24,"listening, listening, listening, listening, listening, listening, listening"
157,6.28,"listening, listening, listening, listening, listening, listening, listening, reading"
158,6.32,"listening, listening, listening, listening, listening, listening, listening, reading"
159,6.36,"listening, listening, listening, listening, listening, listening, listening, reading"
160,6.4,"listening, listening, listening, listening, listening, listening, listening, listening"
161,6.44,"listening, listening, listening, listening, listening, listening, listening"
162,6.48,"listening, listening, listening, listening, listening, listening, listening"
163,6.52,"listening, listening, listening, listening, listening, listening, listening, listening"
164,6.56,"listening, listening, listening, listening, listening, listening, listening, listening"
165,6.6,"listening, listening, listening, listening, listening, listening, listening, listening"
166,6.64,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
167,6.68,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
168,6.72,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
169,6.76,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
170,6.8,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
171,6.84,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
172,6.88,"listening, listening, listening, listening, listening, listening, listening, listening"
173,6.92,"listening, listening, listening, listening, listening, listening, listening, listening"
174,6.96,"listening, listening, listening, listening, listening, listening, listening, listening"
175,7.0,"listening, listening, listening, listening, listening, listening, listening, listening"
176,7.04,"listening, listening, listening, listening, listening, listening, listening, listening"
177,7.08,"listening, listening, listening, listening, listening, listening, listening, listening"
178,7.12,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
179,7.16,"listening, listening, listening, listening, listening, listening, listening"
180,7.2,"listening, listening, listening, listening, listening, listening, listening, listening"
181,7.24,"listening, listening, listening, listening, listening, listening, listening, listening"
182,7.28,"listening, listening, listening, listening, listening, listening, listening, listening"
183,7.32,"listening, listening, listening, listening, listening, listening, listening"
184,7.36,"listening, listening, listening, listening, listening, listening, listening"
185,7.4,"listening, listening, listening, listening, listening, listening, listening"
186,7.44,"listening, listening, listening, listening, listening, listening, listening"
187,7.48,"listening, listening, listening, listening, listening, listening, listening"
188,7.52,"listening, listening, listening, listening, listening, listening, listening, listening"
189,7.56,"listening, listening, listening, listening, listening, listening, listening"
190,7.6,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
191,7.64,"listening, listening, listening, listening, listening, listening, listening, listening"
192,7.68,"listening, listening, listening, listening, listening, listening, listening, listening, reading"
193,7.72,"listening, listening, listening, listening, listening, listening, listening, listening"
194,7.76,"listening, listening, listening, listening, listening, listening, listening, listening, reading"
195,7.8,"listening, listening, listening, listening, listening, listening, listening, reading"
196,7.84,"listening, listening, listening, listening, listening, listening, listening, listening"
197,7.88,"listening, listening, listening, listening, listening, listening, listening, listening"
198,7.92,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
199,7.96,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
200,8.0,"listening, listening, listening, listening, listening, listening, listening, listening"
201,8.04,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
202,8.08,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
203,8.12,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
204,8.16,"listening, listening, listening, listening, listening, listening, listening, listening"
205,8.2,"listening, listening, listening, listening, listening, listening, listening, listening"
206,8.24,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
207,8.28,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
208,8.32,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
209,8.36,"listening, listening, listening, listening, listening, listening, listening, listening"
210,8.4,"listening, listening, listening, listening, listening, listening, listening, listening"
211,8.44,"listening, listening, listening, listening, listening, listening, listening, listening"
212,8.48,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
213,8.52,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
214,8.56,"listening, listening, listening, listening, listening, listening, listening, listening"
215,8.6,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
216,8.64,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
217,8.68,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
218,8.72,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
219,8.76,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
220,8.8,"listening, listening, listening, listening, listening, listening, listening, listening, listening, listening"
221,8.84,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
222,8.88,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
223,8.92,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
224,8.96,"listening, listening, listening, listening, listening, listening, listening"
225,9.0,"listening, listening, listening, listening, listening, listening, listening"
226,9.04,"listening, listening, listening, listening, listening, listening, listening, listening"
227,9.08,"listening, listening, listening, listening, listening, listening, listening"
228,9.12,"listening, listening, listening, listening, listening, listening, listening"
229,9.16,"listening, listening, listening, listening, listening, listening, listening"
230,9.2,"listening, listening, listening, listening, listening, listening, listening"
231,9.24,"listening, listening, listening, listening, listening, listening, listening, listening"
232,9.28,"listening, listening, listening, listening, listening, listening, listening, listening, listening"
233,9.32,"listening, listening, listening, listening, listening, listening, listening, listening"
234,9.36,"listening, listening, listening, listening, listening, listening, listening, listening"
235,9.4,"listening, listening, listening, listening, listening, listening, listening, listening"
236,9.44,"listening, listening, listening, listening, listening, listening"
237,9.48,"listening, listening, listening, listening, listening, listening, listening"
238,9.52,"listening, listening, listening, listening, listening, listening, listening"
239,9.56,"listening, listening, listening, listening, listening, listening"
240,9.6,"listening, listening, listening, listening, listening, listening, listening"
241,9.64,"listening, listening, listening, listening, listening, listening, listening"
242,9.68,"listening, listening, listening, listening, listening, listening, listening, listening"
243,9.72,"listening, listening, listening, listening, listening, listening, listening"
244,9.76,"listening, listening, listening, listening, listening, listening, listening"
245,9.8,"listening, listening, listening, listening, listening, listening, listening"
246,9.84,"listening, listening, listening, listening, listening, listening, listening"
247,9.88,"listening, listening, listening, listening, listening, listening, listening"
248,9.92,"listening, listening, listening, listening, listening, listening, listening"
249,9.96,"listening, listening, listening, listening, listening, listening, listening"
250,10.0,"listening, listening, listening, listening, listening, listening"
251,10.04,"listening, listening, listening, listening, listening, listening"
252,10.08,"listening, listening, listening, listening, listening, listening"
253,10.12,"listening, listening, listening, listening, listening, listening, listening"
254,10.16,"listening, listening, listening, listening, listening, listening, listening"
255,10.2,"listening, listening, listening, listening, listening, listening, listening"
